"s"	"p"	"o"
"http://www.openlinksw.com/virtrdf-data-formats#sql-nvarchar-uri-fn"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-nvarchar-uri-fn-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-integer-uri-fn"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-integer-uri-fn-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-numeric-uri-fn"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-numeric-uri-fn-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-literal-fn"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-literal-fn-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-nvarchar-literal-fn"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-nvarchar-literal-fn-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-integer-literal-fn"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-integer-literal-fn-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-numeric-literal-fn"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-numeric-literal-fn-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sinv-iid"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sinv-iid-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sinv-iid-nonblank"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sinv-iid-nonblank-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sinv"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sinv-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://demo.openlinksw.com/schemas/tutorial#Post-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://demo.openlinksw.com/schemas/tutorial#Post"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://demo.openlinksw.com/schemas/tutorial#Section-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://demo.openlinksw.com/schemas/tutorial#Section"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://demo.openlinksw.com/schemas/tutorial#DocPath-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://demo.openlinksw.com/schemas/tutorial#DocPath"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://demo.openlinksw.com/schemas/tutorial#post_iri"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://demo.openlinksw.com/schemas/tutorial#section_iri"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://localhost:8890/schemas/Demo/xqusers-nullable"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://localhost:8890/schemas/Demo/xqusers"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat"
"http://www.openlinksw.com/schemas/virtrdf#DefaultQuadStorage"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadStorage"
"http://www.openlinksw.com/schemas/virtrdf#DefaultServiceStorage"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadStorage"
"http://www.openlinksw.com/schemas/virtrdf#SyncToQuads"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#QuadStorage"
"http://www.openlinksw.com/virtrdf-data-formats#default-iid-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#default-iid-nullable-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#default-iid-nonblank-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#default-iid-nonblank-nullable-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#default-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#default-nullable-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-nullable-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-dt-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-dt-nullable-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-lang-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-varchar-lang-nullable-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longvarchar-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longvarchar-nullable-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longvarchar-dt-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longvarchar-dt-nullable-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
"http://www.openlinksw.com/virtrdf-data-formats#sql-longvarchar-lang-SuperFormats"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat"
